precip,snowfall,max_temp,min_temp,mean_temp,doy
0.0,5.08,-11.11111111,-16.66666667,-13.88888889,338
0.0,5.08,-17.77777778,-17.77777778,-17.77777778,339
15.748,5.08,0.5555555560000001,-7.222222222,-3.333333333,340
10.668,10.16,1.111111111,0.5555555560000001,1.111111111,341
2.032,15.24,1.111111111,-12.77777778,-5.555555556,342
0.0,15.24,-10.0,-19.44444444,-14.44444444,343
0.0,12.7,-14.44444444,-21.66666667,-17.77777778,344
0.508,15.24,-11.66666667,-14.44444444,-13.33333333,346
0.0,15.24,1.666666667,-13.33333333,-5.555555556,347
0.0,12.7,-8.333333332999999,-15.0,-11.66666667,349
0.508,10.16,6.1111111110000005,-8.333333332999999,-1.111111111,350
0.254,10.16,5.0,-2.777777778,1.111111111,351
0.254,15.24,0.5555555560000001,-10.0,-4.444444444,352
1.016,7.62,-0.5555555560000001,-10.0,-5.555555556,354
0.0,7.62,-9.444444444,-16.66666667,-13.33333333,356
0.0,7.62,-5.0,-14.44444444,-9.444444444,357
0.0,7.62,5.555555556,-14.44444444,-4.444444444,358
0.0,0.0,6.1111111110000005,-2.222222222,2.222222222,359
0.0,5.08,8.888888889,6.1111111110000005,7.777777778,360
0.508,2.54,-6.1111111110000005,-12.22222222,-8.888888889,1
0.0,5.08,-8.333333332999999,-15.0,-11.66666667,2
0.0,5.08,-7.222222222,-15.0,-11.11111111,3
5.334,5.08,2.777777778,-10.55555556,-3.888888889,4
4.3180000000000005,7.62,0.5555555560000001,-3.888888889,-1.666666667,5
7.874,12.7,2.222222222,-3.333333333,-0.5555555560000001,6
0.508,10.16,10.0,-1.111111111,4.444444444,7
4.3180000000000005,0.0,8.888888889,-7.222222222,1.111111111,8
2.54,17.78,-1.111111111,-8.333333332999999,-4.444444444,9
0.762,5.08,-3.888888889,-9.444444444,-6.666666667,10
0.0,5.08,-9.444444444,-19.44444444,-14.44444444,11
0.0,5.08,-15.55555556,-21.66666667,-18.88888889,12
0.0,5.08,-12.77777778,-20.0,-16.11111111,13
0.0,2.54,-12.77777778,-18.88888889,-16.11111111,14
0.0,2.54,-14.44444444,-23.88888889,-18.88888889,19
0.0,2.54,-15.55555556,-21.11111111,-18.33333333,20
0.0,2.54,-11.11111111,-22.22222222,-16.66666667,21
1.778,2.54,-3.333333333,-12.22222222,-7.777777778,23
0.0,7.62,-11.11111111,-20.55555556,-15.55555556,24
