webpage_name,Signature,Die Hard,Alma mater,Instruments,Resting place,Die Hard 2,Birth name,Occupation,Known for,Citizenship,Education,Preceded by,Other names,Notable work,Died,Children,Live Free or Die Hard,Nationality,Website,Years active,Years of service,Awards,Service/branch,Genres,Succeeded by,Allegiance,Works,Born,Associated acts,Partner(s),Height,Parent(s),Relatives,Political party,bday,Die Hard with a Vengeance,Occupation(s),Rank,Labels,A Good Day to Die Hard,Spouse(s)
Graham Greene (actor),,,,,,,,Actor,,,,,,,,,,,,1979–present,,,,,,,," (1952-06-22) June 22, 1952 (age 68)Six Nations Reserve, Ohsweken, Ontario, Canada",,,,,,,1952-06-22,1.0,,,,,Hilary Blackmore (m. 1994)
Colleen Camp,,,,,,,,"Actress, film producer",,,,,,,,1,,,,1973–present,,,,,,,,"Colleen Celeste Camp (1953-06-07) June 7, 1953 (age 67)San Francisco, California, U.S.",,,,,,,1953-06-07,1.0,,,,,"John Goldwyn (m. 1986; div. 2001)"
Larry Bryggman,,,,,,,,"Film, television actor",,,,,,,,2,,,,1962-present,,,,,,,,"Arvid Laurence Bryggman (1938-12-21) December 21, 1938 (age 81)Concord, California, U.S.",,,,,,,1938-12-21,1.0,,,,,"Jacqueline Schultz (m. 1992; div. 1997) Tracey Hanley (m. 199?)"
Anthony Peck,,,,,,,,Actor,,,,,,,"July 30, 1996(1996-07-30) (aged 49)Beverly Hills, California, U.S.",,,American,,1979–1996,,,,,,,,"Carmen Anthony Pecchio(1947-03-20)March 20, 1947Youngstown, Ohio, U.S.[1]",,,,,,,1947-03-20,1.0,,,,,Fran Tolstonog (1982–1996) (his death)[2] 1 child
Nick Wyman,,,,,,,,"Actor, former President of Actors' Equity Association",,,,Paige Price (acting president),,,,,,,http://www.nickwyman.com,1978–present,,,,,Kate Shindle,,," (1950-05-18) May 18, 1950 (age 70)Portland, Maine, U.S.",,,,,,,1950-05-18,1.0,,,,,
Sam Phillips (musician),,,,"Guitar, keyboards",,,Leslie Ann Phillips,,,,,,,,,,,,samphillips.com,1980–present,,,,"Alternative rock, pop",,,," (1962-01-28) January 28, 1962 (age 58)Glendale, California, U.S.","T Bone Burnett, Eric Gorfain",,,,,,1962-01-28,1.0,"Singer, songwriter",,"Myrrh, Virgin, Nonesuch",,
Stephen Pearlman,,,Dartmouth College,,,,,Actor,,,,,,"Die Hard with a Vengeance, Pi, The First Wives Club","September 30, 1998(1998-09-30) (aged 63)Manhattan, New York, U.S",,,American,,1954–1998,,,,,,,,"(1935-02-26)February 26, 1935Brooklyn, New York, U.S",,,,,,,1935-02-26,1.0,,,,,Stefanie Solow Glennon (m. 19?? – 1998; his death)
Kevin Chamberlin,,,,,,,,Actor,,,,,,,,,,,,1995–present,,,,,,,," (1963-11-25) November 25, 1963 (age 56)[1]Baltimore, Maryland, U.S.",,,,,,,1963-11-25,1.0,,,,,
Justin Long,,,Vassar College,,,,,"Actor, comedian, humorist, director, screenwriter",,,,,,,,,1.0,,,1999–present,,,,,,,,"Justin Jacob Long (1978-06-02) June 2, 1978 (age 42)Fairfield, Connecticut, U.S.",,,,R. James LongWendy Lesniak,,,1978-06-02,,,,,,
Timothy Olyphant,,,University of Southern California (BFA),,,,,Actor,,,,,,,,3,1.0,,,1995–present,,,,,,,," (1968-05-20) May 20, 1968 (age 52)Honolulu, Hawaii, U.S.",,,,,,,1968-05-20,,,,,,Alexis Knief (m. 1991)
Mary Elizabeth Winstead,,,,,,,,"Actress, singer",,,,,,Scott Pilgrim vs. the World10 Cloverfield LaneBirds of PreyFargoFinal Destination 3,,,1.0,,,1997–present,,,,,,,," (1984-11-28) November 28, 1984 (age 35)Rocky Mount, North Carolina, U.S.",,,,,,,1984-11-28,,,,,1.0,"Riley Stearns (m. 2010; sep. 2017)"
Maggie Q,,,,,,,,"Actress, model, health advocate",,,,,Maggie D. Quigley,,,,1.0,,,1998–present,,,,,,,,"Margaret Denise Quigley (1979-05-22) May 22, 1979 (age 41)[1]Honolulu, Hawaii, U.S.",,,,,,,1979-05-22,,,,,,
Kevin Smith,,,,,,,,Filmmakeractorcomedianpublic speakercomic book writerauthorpodcaster,,,,,,,,Harley Quinn Smith,1.0,,viewaskew.com,1992–present,,Inkpot Award (2018)[1],,,,,," (1970-08-02) August 2, 1970 (age 50)Red Bank, New Jersey, U.S.",,,,,,,1970-08-02,,,,,,"Jennifer Schwalbach Smith (m. 1999)"
Cliff Curtis,,,,,,,,Actor,,,,,,,,3,1.0,New Zealand,,1991–present,,,,,,,,"Clifford Vivian Devon Curtis (1968-07-27) 27 July 1968 (age 52)Rotorua, Bay of Plenty, New Zealand",,,,,,,1968-07-27,,,,,,"(m. 2009)"
Jonathan Sadowski,,,,,,,,Actor,,,,,,,,,1.0,,,2000–present,,,,,,,," (1979-11-23) November 23, 1979 (age 40)Chicago, Illinois, U.S.",,,,,,,1979-11-23,,,,,,
Edoardo Costa,,,Università Cattolica del Sacro Cuore,,,,,"Model, actor, entrepreneur",,,,,,,,,1.0,Italian,edoardocosta.com,,,,,,,,,"Edoardo Cicorini (1967-08-07) 7 August 1967 (age 53)Varese, Italy",,,,Pietro Cicorini  Rosangela Cicorini,,,1967-08-07,,,,,,
Cyril Raffaelli,,,,,,,,Actor,"Parkour, Stunt, Martial arts",,,,,,,,1.0,,,1997–present,,,,,,,, (1974-04-01) 1 April 1974 (age 46),,,,,,,1974-04-01,,,,,,
Yorgo Constantine,,,,,,,,,,,,,,"Murder 101, Beverly Hills, 90210, Phone Booth, Resurrection Blvd., Live Free or Die Hard, Fast Five, Parallels",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Željko Ivanek,,,,,,,,Actor,,,Yale University (BA)London Academy of Music and Dramatic Art,,,,,,1.0,,,1981–present,,,,,,,,"Željko Šimić-Ivanek (1957-08-15) August 15, 1957 (age 63)Ljubljana, PR Slovenia, Yugoslavia (now Slovenia)",,,,,,,1957-08-15,,,,,,
Christina Chang,,,University of Washington,,,,,Actress,,,,,,,,1,1.0,,,1998–present,,,,,,,,"Taipei, Taiwan",,,,,,,,,,,,,Soam Lall (m. 2010)
Jai Courtney,,,"Cherrybrook Technology High School, Western Australian Academy of Performing Arts",,,,,Actor,,,,,,,,,,,,2005–present,,,,,,,,"Jai Stephen Courtney (1986-03-15) 15 March 1986 (age 34)Sydney, New South Wales, Australia",,,,,,,1986-03-15,,,,,1.0,
Sebastian Koch,,,,,,,,Actor,,,,,,,,,,,www.sebastiankoch.com ,1990–present,,,,,,,," (1962-05-31) 31 May 1962 (age 58)Karlsruhe, West Germany",,,,,,,1962-05-31,,,,,1.0,
Yuliya Snigir,,,,,,,,"Model, actress",,,,,,,,1,,Russian,,2006–present,,,,,,,,"Yuliya Viktorovna Siriskina (1983-06-02) 2 June 1983 (age 37)Donskoy, Tula Oblast, RSFSR, USSR",,Yevgeny Tsyganov,1.67 m (5 ft 6 in),,,,1983-06-02,,,,,1.0,
Sergei Kolesnikov (actor),,,Moscow Art Theatre School,,,,,Actor,,,,,,,,,,Russian,,1976–present,,,,,,,,"Sergei Valentinovich Kolesnikov (1955-01-04) 4 January 1955 (age 65)Moscow, RSFSR, USSR",,,,,,,1955-01-04,,,,,1.0,
